Title,Features.Max Players,Features.Online?,Metadata.Genres,Metadata.Publishers,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Rating,Release.Year,Length.All PlayStyles.Average,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Rushed,Length.Main + Extras.Average,Length.Main + Extras.Leisure,Length.Main + Extras.Rushed,Length.Main Story.Average,Length.Main Story.Leisure,Length.Main Story.Rushed
Super Mario 64 DS,1,TRUE,Action,Nintendo,85,4.69,24.95,Nintendo DS,E,2004,22.71666667,29.76666667,35.03333333,22.01666667,24.91666667,29.96666667,18.33333333,14.33333333,18.31666667,9.7
Lumines: Puzzle Fusion,1,TRUE,Strategy,Ubisoft,89,0.56,14.95,Sony PSP,E,2004,10.1,0,0,0,9.75,9.866666667,9.616666667,10.33333333,11.08333333,9.583333333
WarioWare Touched!,2,TRUE,"Action,Racing / Driving,Sports",Nintendo,81,0.54,22.95,Nintendo DS,E,2004,4.566666667,10,14.1,6.8,3.85,5.666666667,2.783333333,1.916666667,2.933333333,1.433333333
Hot Shots Golf: Open Tee,1,TRUE,Sports,Sony,81,0.49,12.95,Sony PSP,E,2004,0,0,0,0,0,0,0,0,0,0
Spider-Man 2,1,TRUE,Action,Activision,61,0.45,14.95,Nintendo DS,E,2004,13.25,72.56666667,78.86666667,66.28333333,12.76666667,17.31666667,10.48333333,8.35,11.08333333,5.333333333
The Urbz: Sims in the City,1,TRUE,Simulation,EA,67,0.41,12.95,Nintendo DS,M,2004,21.93333333,30.03333333,30.03333333,30.03333333,20.83333333,25.2,16.45,15.5,15.75,15.25
Ridge Racer,1,TRUE,Racing / Driving,Namco,88,0.36,19.95,Sony PSP,E,2004,0.816666667,1.25,1.25,1.25,0.883333333,0.933333333,0.833333333,0.616666667,0.783333333,0.45
Metal Gear Ac!d,1,TRUE,Strategy,Konami,75,0.34,17.95,Sony PSP,E,2004,25.38333333,80,80,80,24.83333333,27.48333333,21.91666667,20.7,23.6,17.88333333
Madden NFL 2005,1,TRUE,Sports,EA,68,0.25,8.95,Nintendo DS,T,2004,0,0,0,0,0,0,0,0,0,0
Pokmon Dash,1,TRUE,Racing / Driving,Nintendo,46,0.22,24.95,Nintendo DS,T,2004,3.833333333,12,12,12,0,0,0,1.116666667,1.2,1.05
Dynasty Warriors,1,TRUE,"Action,Adventure,Role-Playing (RPG)",,62,0.2,14.95,Sony PSP,E,2004,8.883333333,0,0,0,0,0,0,8.883333333,18.05,3.116666667
Feel the Magic XY/XX,1,TRUE,"Action,Adventure,Racing / Driving,Sports",Sega,75,0.16,8.95,Nintendo DS,T,2004,2.9,0,0,0,3.1,3.15,3.05,2.85,3.783333333,2.3
Ridge Racer DS,1,TRUE,Racing / Driving,Namco,63,0.15,9.95,Nintendo DS,E,2004,2.233333333,0,0,0,0,0,0,2.233333333,2.233333333,2.233333333
Darkstalkers Chronicle: The Chaos Tower,1,TRUE,Action,Capcom,74,0.14,14.95,Sony PSP,E,2004,1.633333333,0,0,0,0,0,0,1.633333333,2.4,1.066666667
Ape Escape Academy,4,TRUE,"Action,Sports",Sony,51,0.13,14.95,Sony PSP,E,2004,1.883333333,0,0,0,0,0,0,1.883333333,1.883333333,1.883333333
Polarium,1,TRUE,Strategy,Nintendo,73,0.12,8.95,Nintendo DS,E,2004,6.733333333,12,12,12,0,0,0,5.416666667,5.783333333,4.866666667
Asphalt: Urban GT,1,TRUE,"Racing / Driving,Simulation",Ubisoft,60,0.11,14.95,Nintendo DS,E,2004,12.4,9.816666667,9.816666667,9.816666667,0,0,0,15,15,15
Zoo Keeper,1,TRUE,Action,,74,0.1,14.95,Nintendo DS,T,2004,7.15,11.75,11.75,11.75,0,0,0,6,7.75,4.75
Mr. DRILLER: Drill Spirits,1,TRUE,Action,Namco,72,0.09,14.95,Nintendo DS,T,2004,9.883333333,0,0,0,0,0,0,9.883333333,10.98333333,8.766666667
Sprung,1,TRUE,Adventure,Ubisoft,48,0.06,8.95,Nintendo DS,E,2004,17.75,17.75,17.75,17.75,0,0,0,0,0,0
Armored Core: Formula Front - Extreme Battle,1,TRUE,"Action,Strategy",,66,0.05,16.95,Sony PSP,E,2004,0,0,0,0,0,0,0,0,0,0
Puyo Pop Fever,1,TRUE,"Action,Strategy",Sega,76,0.04,19.95,Nintendo DS,E,2004,2.5,0,0,0,4,4,4,1.75,1.866666667,1.616666667
Mario Kart DS,1,TRUE,Racing / Driving,Nintendo,91,9.99,29.95,Nintendo DS,E,2005,10.41666667,16.38333333,25.33333333,10.33333333,10.71666667,15.16666667,7.8,4.783333333,7.366666667,3.066666667
Nintendogs,1,TRUE,Simulation,Nintendo,83,9.72,26.95,Nintendo DS,E,2005,39.38333333,100,100,100,43.35,49.01666667,37.66666667,27.96666667,46.81666667,18.53333333
Brain Age: Train Your Brain in Minutes a Day!,1,TRUE,Action,Nintendo,77,5.07,17.95,Nintendo DS,M,2005,0.95,1,1,1,0.933333333,0.966666667,0.9,0.933333333,1.483333333,0.633333333
Brain Agey: More Training in Minutes a Day!,1,TRUE,Action,Nintendo,77,3.65,17.95,Nintendo DS,E,2005,13.25,1,1,1,23.33333333,29.58333333,17.08333333,7.266666667,12.06666667,2.483333333
Grand Theft Auto: Liberty City Stories,1,TRUE,"Action,Racing / Driving","Capcom,Rockstar",88,2.97,17.95,Sony PSP,E,2005,20.26666667,46.66666667,59.46666667,33.2,26.55,39.13333333,18.63333333,14.21666667,21.9,10.53333333
Animal Crossing: Wild World,1,TRUE,Simulation,Nintendo,86,2.6,24.95,Nintendo DS,T,2005,168.9666667,408.5833333,555.8,308.3,180.5333333,265.1333333,105.1333333,72.38333333,135.5833333,45.58333333
Big Brain Academy,1,TRUE,Action,Nintendo,74,1.77,16.95,Nintendo DS,E,2005,9.166666667,16.38333333,17.83333333,14.91666667,8.066666667,8.533333333,7.6,4.3,5.35,2.85
Call of Duty 2,4,TRUE,Action,"Activision,Konami",89,1.69,17.95,X360,E,2005,9.233333333,11.63333333,15.7,8.2,9.6,11.31666667,7.4,8.516666667,11.36666667,6.366666667
Midnight Club 3: DUB Edition,1,TRUE,Racing / Driving,Rockstar,74,1.69,14.95,Sony PSP,T,2005,39,48.86666667,49.4,48.4,49,49.5,48.5,19.16666667,21.16666667,17.16666667
Need for Speed: Most Wanted 5-1-0,1,TRUE,Racing / Driving,EA,72,1.67,14.95,Sony PSP,M,2005,11.38333333,0,0,0,9.833333333,9.833333333,9.833333333,12.16666667,13.08333333,11.25
Pokmon Mystery Dungeon: Blue Rescue Team,1,TRUE,Role-Playing (RPG),Nintendo,62,1.22,14.95,Nintendo DS,T,2005,37.46666667,111.9666667,135.7333333,87.98333333,39.61666667,70.25,29.46666667,22.56666667,43.91666667,15.9
Sonic Rush,1,TRUE,Action,Sega,82,1.2,14.95,Nintendo DS,E,2005,7.916666667,13.43333333,17.35,10.46666667,9.433333333,10.35,8.183333333,4.966666667,5.983333333,3.983333333
Star Wars: Battlefront II,1,TRUE,Action,,69,1.09,16.95,Sony PSP,E,2005,15.01666667,48.9,131.0666667,28.56666667,13.41666667,16.68333333,9.833333333,7.783333333,11.23333333,5.35
SOCOM: U.S. Navy SEALs - Fireteam Bravo,1,TRUE,Action,Sony,82,1.07,14.95,Sony PSP,E,2005,8.583333333,0,0,0,0,0,0,8.583333333,8.583333333,8.583333333
Need for Speed: Most Wanted,2,TRUE,Racing / Driving,EA,83,0.95,17.95,X360,E,2005,14.6,34.6,56.15,25.21666667,15.91666667,33.25,12.46666667,10.18333333,17.03333333,6.75
Zoo Tycoon DS,1,TRUE,"Simulation,Strategy",THQ,44,0.92,12.95,Nintendo DS,T,2005,0,0,0,0,0,0,0,0,0,0
The Sims 2,1,TRUE,"Role-Playing (RPG),Simulation",EA,70,0.83,17.95,Nintendo DS,M,2005,55.93333333,200,200,200,61.55,90.38333333,42,40.66666667,77.9,24.9
Mario & Luigi: Partners in Time,1,TRUE,"Action,Role-Playing (RPG)",Nintendo,86,0.75,29.95,Nintendo DS,E,2005,19.66666667,33.91666667,39.21666667,27.46666667,19.25,24.06666667,16.65,18.15,21.81666667,13.85
Madden NFL 06,1,TRUE,Sports,EA,75,0.75,7.95,Sony PSP,E,2005,3.75,3.75,5.366666667,2.116666667,0,0,0,0,0,0
Need for Speed Underground: Rivals,4,TRUE,Racing / Driving,EA,74,0.73,17.95,Sony PSP,E,2005,22.36666667,27.56666667,31.11666667,24.01666667,0,0,0,12,12,12
Twisted Metal: Head-On,1,TRUE,"Action,Racing / Driving",Sony,79,0.73,14.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0
Perfect Dark Zero,4,TRUE,Action,Microsoft,79,0.7,17.95,X360,E,2005,9.3,28.85,30.78333333,26.91666667,10.16666667,11.28333333,9.033333333,7.816666667,10,5.95
Super Monkey Ball: Touch & Roll,1,TRUE,Action,Sega,63,0.7,15.95,Nintendo DS,T,2005,1.45,0,0,0,3.55,4.016666667,3.083333333,0.85,2.166666667,0.4
Super Princess Peach,1,TRUE,Action,Nintendo,75,0.7,29.95,Nintendo DS,T,2005,11,17.78333333,23.4,13.46666667,9.1,10.83333333,7.583333333,7.616666667,9.083333333,6.4
Burnout Legends,1,TRUE,"Action,Racing / Driving",EA,86,0.68,14.95,Sony PSP,T,2005,12.83333333,15.36666667,18.91666667,11.38333333,14.08333333,18.51666667,10.03333333,6.516666667,6.866666667,6.166666667
Madden NFL 06,2,TRUE,Sports,EA,74,0.62,4.95,X360,E,2005,3.75,3.75,5.366666667,2.116666667,0,0,0,0,0,0
Clubhouse Games,1,TRUE,Strategy,Nintendo,83,0.61,17.95,Nintendo DS,E,2005,20,20,20,20,0,0,0,0,0,0
ATV Offroad Fury: Blazin' Trails,4,TRUE,"Racing / Driving,Sports",Sony,63,0.56,12.95,Sony PSP,T,2005,0,0,0,0,0,0,0,0,0,0
Untold Legends: Brotherhood of the Blade,1,TRUE,"Action,Role-Playing (RPG)","Activision,Sony",68,0.56,12.95,Sony PSP,M,2005,21,0,0,0,22,22,22,20,20,20
Tony Hawk's Underground 2: Remix,1,TRUE,Sports,Activision,83,0.49,14.95,Sony PSP,T,2005,23.45,23.45,23.45,23.45,0,0,0,0,0,0
The Sims 2,1,TRUE,"Simulation,Strategy",EA,65,0.46,14.95,Sony PSP,T,2005,55.93333333,200,200,200,61.55,90.38333333,42,40.66666667,77.9,24.9
WipEout Pure,1,TRUE,"Action,Racing / Driving",Sony,88,0.45,12.95,Sony PSP,E,2005,9.516666667,0,0,0,14.2,16.55,11.85,6.716666667,9.666666667,4.983333333
NBA Live 06,1,TRUE,Sports,EA,80,0.42,9.95,Sony PSP,E,2005,4,0,0,0,0,0,0,4,4,4
WWE Smackdown vs. Raw 2006,4,TRUE,"Action,Sports",THQ,81,0.38,14.95,Sony PSP,T,2005,19.5,46.48333333,59.48333333,33.48333333,31,35.5,26.5,7.966666667,9.6,6.85
Dead or Alive 4,4,TRUE,Action,,85,0.38,17.95,X360,E,2005,27.38333333,138.75,209.05,89.05,11.06666667,15.26666667,7.766666667,3.733333333,5.4,2.066666667
Phoenix Wright: Ace Attorney,1,TRUE,"Adventure,Simulation",Capcom,81,0.38,24.95,Nintendo DS,E,2005,19.68333333,22.35,33.36666667,14.11666667,23.31666667,29.3,16.56666667,16.91666667,25.73333333,10.8
Spider-Man 2,1,TRUE,Action,Activision,67,0.38,14.95,Sony PSP,M,2005,13.25,72.56666667,78.86666667,66.28333333,12.76666667,17.31666667,10.48333333,8.35,11.08333333,5.333333333
NFL Street 2,4,TRUE,Sports,EA,73,0.37,17.95,Sony PSP,T,2005,0,0,0,0,0,0,0,0,0,0
Kirby: Canvas Curse,1,TRUE,Action,Nintendo,86,0.37,17.95,Nintendo DS,T,2005,7.4,16.11666667,19.01666667,12.26666667,9.7,13.18333333,6.683333333,5.033333333,7.45,3.783333333
Battlefield 2: Modern Combat,4,TRUE,Action,EA,77,0.36,16.95,X360,E,2005,7.316666667,0,0,0,9.066666667,9.066666667,9.066666667,6.733333333,6.95,6.516666667
Yoshi Touch & Go,1,TRUE,Action,Nintendo,73,0.36,17.95,Nintendo DS,T,2005,4.5,0,0,0,6,6,6,3,3,3
Tiger Woods PGA Tour 06,4,TRUE,Sports,EA,71,0.33,9.95,X360,T,2005,0,0,0,0,0,0,0,0,0,0
Condemned: Criminal Origins,1,TRUE,"Action,Adventure",Sega,81,0.33,14.95,X360,E,2005,8.166666667,14.15,15.41666667,12.28333333,9.533333333,15.58333333,7.183333333,7.25,11.05,5.55
Peter Jackson's King Kong: The Official Game of...,2,TRUE,Action,Ubisoft,80,0.32,14.95,X360,T,2005,6.966666667,7.583333333,8.983333333,6.55,6.8,8.333333333,5.833333333,6.583333333,8.383333333,5.383333333
Castlevania: Dawn of Sorrow,1,TRUE,"Action,Role-Playing (RPG)",Konami,89,0.31,17.95,Nintendo DS,T,2005,16.03333333,30.01666667,69.18333333,20.25,15.48333333,32.36666667,10.53333333,11.21666667,16.15,7.9
SpongeBob SquarePants: The Yellow Avenger,1,TRUE,Action,THQ,67,0.31,13.95,Nintendo DS,E,2005,11.85,15.7,15.7,15.7,0,0,0,8,8,8
Marvel Nemesis: Rise of the Imperfects ,1,TRUE,Action,EA,58,0.31,17.95,Sony PSP,T,2005,5.033333333,0,0,0,6.15,7.15,5.133333333,4.366666667,4.633333333,3.966666667
Kameo: Elements of Power,1,TRUE,Action,Microsoft,79,0.31,11.95,X360,T,2005,10.03333333,17,17,17,11.43333333,15.1,9.483333333,9.25,10.7,6.783333333
Advance Wars: Dual Strike,1,TRUE,Strategy,Nintendo,90,0.3,17.95,Nintendo DS,T,2005,70.36666667,292.5,360.6166667,245.6166667,73.86666667,102.7666667,54.41666667,24.2,27.93333333,20.93333333
Trauma Center: Under the Knife,1,TRUE,"Action,Simulation",Nintendo,81,0.3,15.95,Nintendo DS,T,2005,8.75,9.066666667,11.56666667,6.566666667,11.43333333,13.35,10.35,8.15,9.916666667,6.65
Coded Arms,1,TRUE,Action,Konami,59,0.3,12.95,Sony PSP,M,2005,7.066666667,0,0,0,8.566666667,9.566666667,7.566666667,4.816666667,4.9,4.733333333
NBA LIVE 06 ,1,TRUE,Sports,EA,64,0.29,4.95,X360,E,2005,4,0,0,0,0,0,0,4,4,4
Tony Hawk's American Wasteland,1,TRUE,Sports,Activision,75,0.29,14.95,X360,E,2005,12.88333333,15,16,14,13.66666667,14.53333333,12.66666667,11.8,13.45,8.75
Star Wars: Episode III - Revenge of the Sith,1,TRUE,Action,Ubisoft,73,0.28,16.95,Nintendo DS,E,2005,5.1,6.266666667,6.683333333,5.85,5.616666667,6.283333333,4.783333333,4.616666667,5.216666667,3.9
Capcom Classics Collection Remixed,1,TRUE,Action,Capcom,72,0.28,17.95,Sony PSP,E,2005,35.66666667,0,0,0,35.66666667,35.66666667,35.66666667,0,0,0
Madagascar,1,TRUE,Adventure,Activision,66,0.27,14.95,Nintendo DS,E,2005,6.683333333,0,0,0,9.5,10.86666667,7.866666667,5.283333333,6.066666667,4.316666667
X-Men: Legends II - Rise of Apocalypse,1,TRUE,"Action,Role-Playing (RPG)",Activision,84,0.27,17.95,Sony PSP,M,2005,22.33333333,23.56666667,24.78333333,22.35,21.88333333,31.96666667,17.96666667,22.56666667,27.98333333,19.05
Quake 4,1,TRUE,Action,Activision,75,0.27,14.95,X360,E,2005,9.133333333,13.6,18.23333333,10.15,10.5,12.13333333,8.383333333,7.8,10.75,5.95
Pokmon Trozei!,1,TRUE,Strategy,Nintendo,74,0.26,19.95,Nintendo DS,E,2005,3.233333333,0,0,0,0,0,0,3.233333333,4.033333333,2.85
Need for Speed: Most Wanted,1,TRUE,Racing / Driving,EA,45,0.25,15.95,Nintendo DS,E,2005,14.6,34.6,56.15,25.21666667,15.91666667,33.25,12.46666667,10.18333333,17.03333333,6.75
Mega Man Maverick Hunter X,1,TRUE,Action,Capcom,79,0.25,17.95,Sony PSP,E,2005,6.766666667,7.45,11.26666667,4.116666667,8.05,14.75,5.25,4.066666667,4.433333333,3.516666667
Metroid Prime Pinball,1,TRUE,"Action,Simulation",Nintendo,79,0.22,17.95,Nintendo DS,E,2005,5.566666667,8.666666667,10.41666667,6.916666667,5,5,5,2.683333333,3.366666667,2.016666667
NBA 06,1,TRUE,Sports,Sony,72,0.22,9.95,Sony PSP,E,2005,4,0,0,0,0,0,0,4,4,4
GUN ,1,TRUE,"Action,Racing / Driving,Role-Playing (RPG)",Activision,75,0.22,19.95,X360,E,2005,8.85,13.18333333,17.23333333,10.1,8.55,10.53333333,6.633333333,6.3,10.08333333,4.816666667
NBA 2K6 ,1,TRUE,Sports,2K,81,0.22,4.95,X360,E,2005,0.616666667,0.616666667,0.7,0.533333333,0,0,0,0,0,0
Pinball Hall of Fame: The Gottlieb Collection,4,TRUE,Action,,73,0.21,9.95,Sony PSP,T,2005,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Goblet of Fire,1,TRUE,Action,EA,68,0.21,17.95,Nintendo DS,T,2005,10.53333333,15,15.5,14.5,14.38333333,15.66666667,12.66666667,7.2,8.3,5.3
Tony Hawk's American Sk8land,1,TRUE,Sports,Activision,84,0.21,16.95,Nintendo DS,E,2005,18.8,0,0,0,18.8,20.7,16.2,0,0,0
MVP Baseball,1,TRUE,Sports,EA,67,0.21,4.95,Sony PSP,M,2005,0,0,0,0,0,0,0,0,0,0
Tiger Woods PGA Tour,1,TRUE,Sports,EA,78,0.21,17.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0
World Series of Poker,1,TRUE,"Sports,Strategy",Activision,37,0.21,14.95,Sony PSP,E,2005,0,0,0,0,0,0,0,0,0,0
SSX on Tour,1,TRUE,Sports,EA,79,0.2,16.95,Sony PSP,E,2005,15.5,0,0,0,15.5,16.25,14.75,0,0,0
Tiger Woods PGA Tour 06,1,TRUE,Sports,EA,80,0.2,9.95,Sony PSP,T,2005,0,0,0,0,0,0,0,0,0,0
Death Jr.,1,TRUE,Action,Konami,61,0.19,9.95,Sony PSP,M,2005,3.533333333,0,0,0,0,0,0,3.533333333,3.533333333,3.533333333
